ssh://root@connect.westa.seetacloud.com:16400/root/miniconda3/bin/python3 -u /root/autodl-tmp/examples/Perception_and_Learning/Conversion/burst_conversion/CIFAR10_mobilenet.py
Files already downloaded and verified
Files already downloaded and verified
dataloader finished
training on  cuda:0
epoch 1, lr 0.050000, loss 2.547164, train acc 0.132752, test acc 0.164200, time 20.2 sec
epoch 85, lr 0.040936, loss 1.413602, train acc 0.590144, test acc 0.695000, time 18.8 sec
epoch 86, lr 0.040733, loss 1.418855, train acc 0.591386, test acc 0.689500, time 17.8 sec
epoch 87, lr 0.040529, loss 1.412068, train acc 0.591687, test acc 0.721400, time 18.0 sec
epoch 88, lr 0.040323, loss 1.423770, train acc 0.588041, test acc 0.727900, time 17.8 sec
epoch 89, lr 0.040115, loss 1.413081, train acc 0.592708, test acc 0.716100, time 17.9 sec
epoch 90, lr 0.039906, loss 1.408915, train acc 0.591947, test acc 0.707000, time 17.3 sec
epoch 91, lr 0.039695, loss 1.412080, train acc 0.593209, test acc 0.716900, time 18.6 sec
epoch 92, lr 0.039482, loss 1.411835, train acc 0.593590, test acc 0.717000, time 18.0 sec
epoch 93, lr 0.039268, loss 1.410314, train acc 0.593610, test acc 0.703700, time 18.3 sec
epoch 94, lr 0.039052, loss 1.412636, train acc 0.591987, test acc 0.732200, time 18.1 sec
epoch 95, lr 0.038835, loss 1.410650, train acc 0.591186, test acc 0.724400, time 18.5 sec
epoch 96, lr 0.038616, loss 1.404085, train acc 0.595292, test acc 0.736000, time 17.4 sec
epoch 97, lr 0.038396, loss 1.409537, train acc 0.594030, test acc 0.717700, time 17.6 sec
epoch 98, lr 0.038174, loss 1.407150, train acc 0.594111, test acc 0.740700, time 20.0 sec
epoch 99, lr 0.037951, loss 1.405878, train acc 0.593169, test acc 0.737800, time 18.1 sec
epoch 100, lr 0.037726, loss 1.400786, train acc 0.595132, test acc 0.695200, time 17.7 sec
epoch 101, lr 0.037500, loss 1.402400, train acc 0.595954, test acc 0.705000, time 18.7 sec
epoch 102, lr 0.037273, loss 1.395529, train acc 0.599379, test acc 0.716600, time 17.8 sec
epoch 103, lr 0.037044, loss 1.405791, train acc 0.593910, test acc 0.726600, time 17.9 sec
epoch 104, lr 0.036814, loss 1.398601, train acc 0.600841, test acc 0.715300, time 17.6 sec
epoch 105, lr 0.036582, loss 1.394000, train acc 0.598838, test acc 0.700900, time 17.5 sec
epoch 106, lr 0.036350, loss 1.396848, train acc 0.600381, test acc 0.697300, time 17.9 sec
epoch 107, lr 0.036116, loss 1.396923, train acc 0.600841, test acc 0.744000, time 18.0 sec
epoch 108, lr 0.035881, loss 1.390360, train acc 0.600020, test acc 0.728800, time 17.8 sec
epoch 109, lr 0.035644, loss 1.392918, train acc 0.602123, test acc 0.734500, time 17.7 sec
epoch 110, lr 0.035407, loss 1.396727, train acc 0.599800, test acc 0.716400, time 17.2 sec
epoch 111, lr 0.035168, loss 1.396712, train acc 0.598938, test acc 0.729200, time 18.9 sec
epoch 112, lr 0.034929, loss 1.394139, train acc 0.600701, test acc 0.733800, time 17.6 sec
epoch 113, lr 0.034688, loss 1.392826, train acc 0.601002, test acc 0.671000, time 17.8 sec
epoch 114, lr 0.034446, loss 1.389574, train acc 0.603365, test acc 0.728400, time 17.9 sec
epoch 115, lr 0.034203, loss 1.385659, train acc 0.605789, test acc 0.748700, time 18.2 sec
epoch 116, lr 0.033959, loss 1.388169, train acc 0.602003, test acc 0.729800, time 18.5 sec
epoch 117, lr 0.033714, loss 1.388868, train acc 0.601683, test acc 0.724700, time 18.3 sec
epoch 118, lr 0.033468, loss 1.388039, train acc 0.603285, test acc 0.728000, time 20.1 sec
epoch 119, lr 0.033222, loss 1.389377, train acc 0.600681, test acc 0.706800, time 19.4 sec
epoch 120, lr 0.032974, loss 1.377209, train acc 0.609195, test acc 0.730000, time 17.4 sec
epoch 121, lr 0.032725, loss 1.387118, train acc 0.604347, test acc 0.744000, time 18.0 sec
epoch 122, lr 0.032476, loss 1.378853, train acc 0.608654, test acc 0.738900, time 17.7 sec
epoch 123, lr 0.032226, loss 1.374933, train acc 0.607853, test acc 0.735000, time 17.9 sec
epoch 124, lr 0.031975, loss 1.376046, train acc 0.607692, test acc 0.729900, time 18.2 sec
epoch 125, lr 0.031723, loss 1.381059, train acc 0.606671, test acc 0.747200, time 18.0 sec
epoch 126, lr 0.031470, loss 1.376247, train acc 0.608093, test acc 0.705400, time 19.5 sec
epoch 127, lr 0.031217, loss 1.373268, train acc 0.609115, test acc 0.737400, time 17.6 sec
epoch 128, lr 0.030963, loss 1.374827, train acc 0.607272, test acc 0.732700, time 18.4 sec
epoch 129, lr 0.030709, loss 1.368142, train acc 0.613421, test acc 0.736100, time 17.8 sec
epoch 130, lr 0.030454, loss 1.367860, train acc 0.612079, test acc 0.692700, time 17.7 sec
epoch 131, lr 0.030198, loss 1.371178, train acc 0.612660, test acc 0.722300, time 17.9 sec
epoch 132, lr 0.029941, loss 1.365300, train acc 0.611558, test acc 0.723600, time 18.3 sec
epoch 133, lr 0.029685, loss 1.367913, train acc 0.612480, test acc 0.746000, time 17.9 sec
epoch 134, lr 0.029427, loss 1.363313, train acc 0.614683, test acc 0.744700, time 17.8 sec
epoch 135, lr 0.029169, loss 1.368370, train acc 0.612179, test acc 0.740400, time 18.9 sec
epoch 136, lr 0.028911, loss 1.360763, train acc 0.614944, test acc 0.754500, time 17.9 sec
epoch 137, lr 0.028652, loss 1.364785, train acc 0.613522, test acc 0.747400, time 17.7 sec
epoch 138, lr 0.028393, loss 1.360245, train acc 0.613842, test acc 0.733400, time 17.4 sec
epoch 139, lr 0.028133, loss 1.357978, train acc 0.616086, test acc 0.716700, time 17.6 sec
epoch 140, lr 0.027873, loss 1.356144, train acc 0.616126, test acc 0.747800, time 18.0 sec
epoch 141, lr 0.027613, loss 1.359740, train acc 0.615865, test acc 0.737700, time 20.8 sec
epoch 142, lr 0.027353, loss 1.355267, train acc 0.614463, test acc 0.753600, time 18.3 sec
epoch 143, lr 0.027092, loss 1.355850, train acc 0.618490, test acc 0.736500, time 17.8 sec
epoch 144, lr 0.026831, loss 1.350641, train acc 0.621014, test acc 0.756100, time 17.7 sec
epoch 145, lr 0.026570, loss 1.347014, train acc 0.622316, test acc 0.732800, time 18.0 sec
epoch 146, lr 0.026308, loss 1.356447, train acc 0.617728, test acc 0.739100, time 17.7 sec
epoch 147, lr 0.026047, loss 1.342670, train acc 0.622756, test acc 0.734300, time 18.3 sec
epoch 148, lr 0.025785, loss 1.352973, train acc 0.616486, test acc 0.759400, time 17.8 sec
epoch 149, lr 0.025524, loss 1.348317, train acc 0.621034, test acc 0.753300, time 17.9 sec
epoch 150, lr 0.025262, loss 1.343730, train acc 0.624359, test acc 0.758300, time 17.6 sec
epoch 151, lr 0.025000, loss 1.346677, train acc 0.621154, test acc 0.737100, time 18.1 sec
epoch 152, lr 0.024738, loss 1.347337, train acc 0.621214, test acc 0.770600, time 17.3 sec
epoch 153, lr 0.024476, loss 1.337009, train acc 0.624419, test acc 0.759900, time 18.7 sec
epoch 154, lr 0.024215, loss 1.337534, train acc 0.625541, test acc 0.725700, time 17.4 sec
epoch 155, lr 0.023953, loss 1.337391, train acc 0.623317, test acc 0.758600, time 17.7 sec
epoch 156, lr 0.023692, loss 1.334166, train acc 0.625260, test acc 0.738600, time 17.9 sec
epoch 157, lr 0.023430, loss 1.328868, train acc 0.629667, test acc 0.761500, time 18.0 sec
epoch 158, lr 0.023169, loss 1.335344, train acc 0.627043, test acc 0.767900, time 18.0 sec
epoch 159, lr 0.022908, loss 1.327535, train acc 0.627163, test acc 0.748500, time 17.8 sec
epoch 160, lr 0.022647, loss 1.330916, train acc 0.629447, test acc 0.765700, time 17.7 sec
epoch 161, lr 0.022387, loss 1.324056, train acc 0.632672, test acc 0.745600, time 18.4 sec
epoch 162, lr 0.022127, loss 1.321026, train acc 0.631791, test acc 0.757700, time 19.1 sec
epoch 163, lr 0.021867, loss 1.326182, train acc 0.630769, test acc 0.752500, time 17.6 sec
epoch 164, lr 0.021607, loss 1.328874, train acc 0.628726, test acc 0.755600, time 18.0 sec
epoch 165, lr 0.021348, loss 1.322429, train acc 0.631711, test acc 0.747500, time 18.1 sec
epoch 166, lr 0.021089, loss 1.319576, train acc 0.632372, test acc 0.760800, time 19.7 sec
epoch 167, lr 0.020831, loss 1.322948, train acc 0.632692, test acc 0.740900, time 18.3 sec
epoch 168, lr 0.020573, loss 1.314637, train acc 0.636018, test acc 0.745900, time 18.1 sec
epoch 169, lr 0.020315, loss 1.312081, train acc 0.637220, test acc 0.758100, time 18.2 sec
epoch 170, lr 0.020059, loss 1.315304, train acc 0.635897, test acc 0.742800, time 18.1 sec
epoch 171, lr 0.019802, loss 1.314547, train acc 0.635657, test acc 0.754900, time 17.9 sec
epoch 172, lr 0.019546, loss 1.310954, train acc 0.636619, test acc 0.746100, time 18.9 sec
epoch 173, lr 0.019291, loss 1.310921, train acc 0.635276, test acc 0.766000, time 18.1 sec
epoch 174, lr 0.019037, loss 1.304484, train acc 0.640465, test acc 0.761600, time 20.0 sec
epoch 175, lr 0.018783, loss 1.309128, train acc 0.639463, test acc 0.756400, time 18.0 sec
epoch 176, lr 0.018530, loss 1.308192, train acc 0.637480, test acc 0.765600, time 20.4 sec
epoch 177, lr 0.018277, loss 1.305201, train acc 0.641727, test acc 0.781600, time 18.7 sec
epoch 178, lr 0.018025, loss 1.304254, train acc 0.640405, test acc 0.779500, time 20.0 sec
epoch 179, lr 0.017774, loss 1.302304, train acc 0.639784, test acc 0.775500, time 19.4 sec
epoch 180, lr 0.017524, loss 1.301504, train acc 0.640525, test acc 0.782300, time 18.7 sec
epoch 181, lr 0.017275, loss 1.295924, train acc 0.642849, test acc 0.751000, time 18.9 sec
epoch 182, lr 0.017026, loss 1.299401, train acc 0.643309, test acc 0.772300, time 20.2 sec
epoch 183, lr 0.016778, loss 1.297454, train acc 0.644611, test acc 0.775500, time 19.5 sec
epoch 184, lr 0.016532, loss 1.290955, train acc 0.645513, test acc 0.769700, time 19.1 sec
epoch 185, lr 0.016286, loss 1.294400, train acc 0.643149, test acc 0.768400, time 19.0 sec
epoch 186, lr 0.016041, loss 1.289584, train acc 0.645994, test acc 0.765900, time 19.4 sec
epoch 187, lr 0.015797, loss 1.289647, train acc 0.647296, test acc 0.766000, time 19.2 sec
epoch 188, lr 0.015554, loss 1.288720, train acc 0.649559, test acc 0.773600, time 18.3 sec
epoch 189, lr 0.015312, loss 1.285759, train acc 0.648638, test acc 0.778400, time 18.4 sec
epoch 190, lr 0.015071, loss 1.282404, train acc 0.651022, test acc 0.766000, time 17.8 sec
epoch 191, lr 0.014832, loss 1.282960, train acc 0.648778, test acc 0.761600, time 18.3 sec
epoch 192, lr 0.014593, loss 1.280936, train acc 0.650661, test acc 0.771400, time 18.0 sec
epoch 193, lr 0.014356, loss 1.277491, train acc 0.653125, test acc 0.781500, time 18.9 sec
epoch 194, lr 0.014119, loss 1.272987, train acc 0.655248, test acc 0.765500, time 18.2 sec
epoch 195, lr 0.013884, loss 1.278055, train acc 0.651202, test acc 0.786400, time 17.8 sec
epoch 196, lr 0.013650, loss 1.269594, train acc 0.655268, test acc 0.786400, time 18.8 sec
epoch 197, lr 0.013418, loss 1.267860, train acc 0.656130, test acc 0.792300, time 18.5 sec
epoch 198, lr 0.013186, loss 1.262471, train acc 0.660056, test acc 0.791500, time 18.4 sec
epoch 199, lr 0.012956, loss 1.260977, train acc 0.658894, test acc 0.771900, time 18.1 sec
epoch 200, lr 0.012727, loss 1.262413, train acc 0.659315, test acc 0.781800, time 18.4 sec
epoch 201, lr 0.012500, loss 1.261385, train acc 0.661859, test acc 0.782000, time 17.7 sec
epoch 202, lr 0.012274, loss 1.256204, train acc 0.661699, test acc 0.779500, time 18.9 sec
epoch 203, lr 0.012049, loss 1.256755, train acc 0.661919, test acc 0.784300, time 18.0 sec
epoch 204, lr 0.011826, loss 1.263352, train acc 0.659916, test acc 0.798600, time 18.1 sec
epoch 205, lr 0.011604, loss 1.254704, train acc 0.661919, test acc 0.795700, time 18.2 sec
epoch 206, lr 0.011384, loss 1.250655, train acc 0.663502, test acc 0.799500, time 18.5 sec
epoch 207, lr 0.011165, loss 1.247413, train acc 0.666106, test acc 0.793000, time 18.6 sec
epoch 208, lr 0.010948, loss 1.237587, train acc 0.670453, test acc 0.781500, time 18.3 sec
epoch 209, lr 0.010732, loss 1.239356, train acc 0.669451, test acc 0.785400, time 18.2 sec
epoch 210, lr 0.010518, loss 1.244915, train acc 0.666546, test acc 0.789500, time 17.7 sec
epoch 211, lr 0.010305, loss 1.242214, train acc 0.669772, test acc 0.789000, time 17.7 sec
epoch 212, lr 0.010094, loss 1.240101, train acc 0.669832, test acc 0.801500, time 18.2 sec
epoch 213, lr 0.009885, loss 1.233056, train acc 0.671855, test acc 0.795500, time 19.1 sec
epoch 214, lr 0.009677, loss 1.232567, train acc 0.672796, test acc 0.802600, time 18.4 sec
epoch 215, lr 0.009471, loss 1.233720, train acc 0.672216, test acc 0.804900, time 19.3 sec
epoch 216, lr 0.009267, loss 1.229474, train acc 0.674018, test acc 0.804800, time 17.6 sec
epoch 217, lr 0.009064, loss 1.236340, train acc 0.670573, test acc 0.801600, time 18.6 sec
epoch 218, lr 0.008864, loss 1.226977, train acc 0.672756, test acc 0.801400, time 19.5 sec
epoch 219, lr 0.008664, loss 1.218670, train acc 0.676422, test acc 0.798400, time 18.9 sec
epoch 220, lr 0.008467, loss 1.222186, train acc 0.675080, test acc 0.810000, time 19.6 sec
epoch 221, lr 0.008272, loss 1.220948, train acc 0.676362, test acc 0.805300, time 18.5 sec
epoch 222, lr 0.008078, loss 1.217755, train acc 0.678205, test acc 0.805700, time 17.9 sec
epoch 223, lr 0.007886, loss 1.221711, train acc 0.679087, test acc 0.804200, time 18.2 sec
epoch 224, lr 0.007696, loss 1.212292, train acc 0.681691, test acc 0.807200, time 18.0 sec
epoch 225, lr 0.007508, loss 1.211811, train acc 0.681090, test acc 0.811000, time 18.8 sec
epoch 226, lr 0.007322, loss 1.209594, train acc 0.680569, test acc 0.810700, time 17.5 sec
epoch 227, lr 0.007138, loss 1.205287, train acc 0.683994, test acc 0.808800, time 18.5 sec
epoch 228, lr 0.006956, loss 1.198236, train acc 0.686258, test acc 0.814500, time 19.0 sec
epoch 229, lr 0.006776, loss 1.204190, train acc 0.684155, test acc 0.810000, time 19.0 sec
epoch 230, lr 0.006598, loss 1.198844, train acc 0.688802, test acc 0.821300, time 19.0 sec
epoch 231, lr 0.006421, loss 1.201187, train acc 0.685837, test acc 0.810000, time 18.2 sec
epoch 232, lr 0.006247, loss 1.196971, train acc 0.687660, test acc 0.813100, time 18.1 sec
epoch 233, lr 0.006075, loss 1.190538, train acc 0.690966, test acc 0.821400, time 17.6 sec
epoch 234, lr 0.005905, loss 1.194137, train acc 0.688261, test acc 0.809100, time 17.9 sec
epoch 235, lr 0.005737, loss 1.185712, train acc 0.690585, test acc 0.811500, time 17.9 sec
epoch 236, lr 0.005571, loss 1.189482, train acc 0.689964, test acc 0.820500, time 17.7 sec
epoch 237, lr 0.005408, loss 1.179872, train acc 0.695192, test acc 0.809300, time 18.1 sec
epoch 238, lr 0.005246, loss 1.182865, train acc 0.694732, test acc 0.807900, time 17.5 sec
epoch 239, lr 0.005087, loss 1.178891, train acc 0.695353, test acc 0.817000, time 18.2 sec
epoch 240, lr 0.004930, loss 1.178029, train acc 0.695493, test acc 0.822500, time 18.4 sec
epoch 241, lr 0.004775, loss 1.172571, train acc 0.698077, test acc 0.823500, time 18.4 sec
epoch 242, lr 0.004622, loss 1.171007, train acc 0.699279, test acc 0.820700, time 19.0 sec
epoch 243, lr 0.004471, loss 1.166697, train acc 0.698538, test acc 0.826200, time 17.9 sec
epoch 244, lr 0.004323, loss 1.167089, train acc 0.701342, test acc 0.823900, time 17.6 sec
epoch 245, lr 0.004177, loss 1.172093, train acc 0.698858, test acc 0.826000, time 18.1 sec
epoch 246, lr 0.004033, loss 1.159580, train acc 0.704868, test acc 0.829200, time 18.7 sec
epoch 247, lr 0.003892, loss 1.159795, train acc 0.704547, test acc 0.825700, time 18.6 sec
epoch 248, lr 0.003753, loss 1.160940, train acc 0.703285, test acc 0.827800, time 18.6 sec
epoch 249, lr 0.003616, loss 1.154146, train acc 0.705228, test acc 0.825500, time 17.7 sec
epoch 250, lr 0.003481, loss 1.154742, train acc 0.705128, test acc 0.829400, time 17.7 sec
epoch 251, lr 0.003349, loss 1.150671, train acc 0.707572, test acc 0.823600, time 17.6 sec
epoch 252, lr 0.003220, loss 1.149470, train acc 0.709796, test acc 0.837800, time 20.4 sec
epoch 253, lr 0.003092, loss 1.144973, train acc 0.710938, test acc 0.833400, time 18.7 sec
epoch 254, lr 0.002967, loss 1.148916, train acc 0.707853, test acc 0.833900, time 17.3 sec
epoch 255, lr 0.002845, loss 1.146042, train acc 0.709455, test acc 0.834700, time 17.6 sec
epoch 256, lr 0.002725, loss 1.139915, train acc 0.713582, test acc 0.838300, time 17.0 sec
epoch 257, lr 0.002607, loss 1.134611, train acc 0.712400, test acc 0.834700, time 17.4 sec
epoch 258, lr 0.002492, loss 1.135838, train acc 0.716306, test acc 0.841300, time 17.6 sec
epoch 259, lr 0.002379, loss 1.132817, train acc 0.716807, test acc 0.832900, time 17.7 sec
epoch 260, lr 0.002269, loss 1.133124, train acc 0.713421, test acc 0.840900, time 18.0 sec
epoch 261, lr 0.002161, loss 1.131404, train acc 0.717308, test acc 0.839300, time 17.7 sec
epoch 262, lr 0.002056, loss 1.128111, train acc 0.717508, test acc 0.841500, time 17.8 sec
epoch 263, lr 0.001953, loss 1.119221, train acc 0.721935, test acc 0.841900, time 18.0 sec
epoch 264, lr 0.001853, loss 1.126030, train acc 0.719431, test acc 0.844100, time 18.0 sec
epoch 265, lr 0.001756, loss 1.121274, train acc 0.721855, test acc 0.842100, time 17.1 sec
epoch 266, lr 0.001660, loss 1.112544, train acc 0.725160, test acc 0.841200, time 18.4 sec
epoch 267, lr 0.001568, loss 1.111855, train acc 0.726562, test acc 0.844600, time 18.4 sec
epoch 268, lr 0.001478, loss 1.111082, train acc 0.725781, test acc 0.844300, time 17.0 sec
epoch 269, lr 0.001391, loss 1.116054, train acc 0.724519, test acc 0.846200, time 17.3 sec
epoch 270, lr 0.001306, loss 1.106161, train acc 0.728145, test acc 0.843700, time 18.1 sec
epoch 271, lr 0.001224, loss 1.105771, train acc 0.726643, test acc 0.844300, time 17.7 sec
epoch 272, lr 0.001144, loss 1.100392, train acc 0.730188, test acc 0.845900, time 16.9 sec
epoch 273, lr 0.001067, loss 1.103750, train acc 0.727744, test acc 0.847600, time 19.4 sec
epoch 274, lr 0.000993, loss 1.094563, train acc 0.732993, test acc 0.848600, time 19.0 sec
epoch 275, lr 0.000921, loss 1.098461, train acc 0.731010, test acc 0.845000, time 18.4 sec
epoch 276, lr 0.000852, loss 1.095550, train acc 0.731631, test acc 0.845000, time 17.1 sec
epoch 277, lr 0.000785, loss 1.093367, train acc 0.731390, test acc 0.849700, time 17.2 sec
epoch 278, lr 0.000722, loss 1.091458, train acc 0.732873, test acc 0.848200, time 17.8 sec
epoch 279, lr 0.000661, loss 1.089966, train acc 0.735557, test acc 0.848700, time 17.7 sec
